LakeID,Hylak_id,short_name,Name,Country,Lat_centre,Lon_centre,Sea_mask,Lake_area,Vol_total,Depth_avg,Dis_avg,Res_time,Elevation,Z_max,TR,Phase,Cover_1995_2020,annual_ave_95_10
289,1524,GLWD00000289, Srisailam Dam reservoir,India,15.9792,78.3736,0,536.42,8722,16.3,1703.57,59.3,263,48.778941873904785,TH,Hot,0.192,26.99286372144092
290,597,GLWD00000290, Michikamau lake,Canada,53.6653,-65.2597,0,762.29,3582.75,4.7,457.549,90.6,475,14.09994884,NC,Cool,0.178,10.825824107538512
291,1240,GLWD00000291, Buir lake,Mongolia;China,47.8181,117.7125,0,598.48,3750,6.3,3.68,11794.2,577,18.79762063895201,NC,Cool,0.308,14.041221302601468
292,409,GLWD00000292, Selwyn lake,Canada,60.0514,-104.3681,0,564.14,6649.81,11.8,35.078,2194.1,376,35.36255184883185,NC,Cool,0.198,11.29447424951168
296,1307,GLWD00000296, Shardara reservoir,Uzbekistan;Kazakhstan,41.1319,68.1903,0,745.08,6700,9,543.691,142.6,248,26.976968916089547,NW,Warm,0.521,17.815866485863424
298,801,GLWD00000298, Kentucky lake,United States,36.4208,-88.0625,0,574.74,7560,13.2,2141.379,40.9,107,39.46132164108989,NW,Warm,0.356,17.119019537566405
300,1377,GLWD00000300, Eling lake/Ngoring lake,China,34.8931,97.7069,0,617.76,10736,17.4,44.053,2820.7,4267,52.136752136752136,NF,Frigid,0.311,7.674563841144446
301,520,GLWD00000301, Cross lake,Canada,54.9931,-97.7958,0,514,4633.95,9,2436.855,22,185,27.046400778210117,NC,Cool,0.254,13.443688188367274
303,48,GLWD00000303, North Moose lake,Canada,54.1569,-100.1431,0,1311.82,5378.46,4.1,13.223,4707.8,253,12.299995426201766,NC,Cool,0.282,13.706558931357453
306,1558,GLWD00000306, lac Lagdo,Cameroon,8.9319,13.8597,0,623.12,7800,12.5,222.165,406.4,213,37.55295930157915,TH,Hot,0.133,26.457846045856595
312,1344,GLWD00000312, Ayakkum lake,China,37.5486,89.4292,0,616.34,6163.41,10,0,-1,3876,30.000048674432943,NF,Frigid,0.359,7.349020489
313,410,GLWD00000313, Scott lake and Wignes lake,Canada,60.1375,-105.8931,0,533.23,5877.51,11,19.961,3408,430,33.06740055885828,NC,Cool,0.199,12.036163127006834
319,372,GLWD00000319, South Henik lake,Canada,61.5347,-97.4069,0,573.23,12434.3,21.7,46.219,3113.8,165,65.07492629485547,NF,Frigid,0.183,8.387053825349996
320,332,GLWD00000320, Kaminuriak lake,Canada,62.8069,-95.7708,0,487.94,12573.21,25.8,82.242,1769.5,75,77.30382833954994,NF,Frigid,0.175,7.745689722111825
323,499,GLWD00000323, Churchill lake,Canada,56.0625,-108.2986,0,543.87,4079.05,7.5,29.341,1609.1,415,22.50013790060125,NC,Cool,0.257,13.068492277196295
324,346,GLWD00000324, Angikuni lake,Canada,62.3903,-99.7681,0,525.56,8079.58,15.4,222.523,420.2,254,46.11983408174139,NF,Frigid,0.16,9.707696876
326,537,GLWD00000326, Deschambault lake,Canada,54.6569,-103.5903,0,543.74,3350,6.2,22.555,1719,322,18.48309853974326,NC,Cool,0.251,13.818490296153907
328,1313,GLWD00000328, Mingachevir reservoir,Azerbaijan,40.9653,46.6569,0,415.51,16000,38.5,473.331,391.2,70,115.52068542273352,NT,Temperate,0.379,16.40720319603945
333,425,GLWD00000333, Black lake,Canada,59.2208,-105.2764,0,443.84,11091.49,25,328.837,390.4,276,74.96951604181687,NC,Cool,0.243,11.81441887001221
334,327,GLWD00000334, Artillery lake,Canada,63.2403,-107.7486,0,516.24,12538.11,24.3,230.145,630.5,352,72.86209902370992,NC,Cool,0.209,6.7161126489850345
335,585,GLWD00000335, reservoir La Grande 4,Canada,53.8986,-73.2681,0,805.72,19530,24.2,716.494,315.5,372,72.71756937894058,NC,Cool,0.193,10.372691938654896
336,1385,GLWD00000336, Gyaring lake/Zhaling lake,China,34.9181,97.2792,0,520.58,4670,9,19.118,2827.2,4290,26.912290137923083,NF,Frigid,0.304,7.6588224793903725
337,477,GLWD00000337, Stephens lake,Canada,56.3931,-94.8736,0,316.85,2530,8,2299.49,12.7,138,23.95455262742623,NC,Cool,0.208,12.937055757986766
340,762,GLWD00000340, lake Winnebago,United States,44.0208,-88.4181,0,645.53,4100,6.4,136.851,346.8,226,19.054110575805925,NT,Temperate,0.282,14.82628743215048
342,952,GLWD00000342, represa de Xavantes,Brazil,-23.3542,-49.6347,0,341.19,8795,25.8,240.498,423.3,471,77.33227820276092,SH,Hot,0.329,22.353123542732163
346,1117,GLWD00000346, Zzzz,Finland,62.8764,25.9875,0,640.85,3428.88,5.4,110.001,360.8,86,16.051556526488262,NC,Cool,0.287,13.505915540551351
353,423,GLWD00000353, lac Payne and lac Tunusuk,Canada,59.4819,-74.3569,0,487.93,7497.88,15.4,119.108,728.6,134,46.10013731477875,NF,Frigid,0.149,7.839834936708597
354,1431,GLWD00000354, Ngangla Ringco,China,31.5403,82.9403,0,498.06,5000,10,75.414,767.4,4716,30.11685339115769,NF,Frigid,0.42,7.869240987480425
356,604,GLWD00000356, Sandy lake,Canada,53.0069,-93.0431,0,483.51,14487.9,30,112.37,1492.2,272,89.89203946143823,NC,Cool,0.254,13.578710132913308
360,953,GLWD00000360, represa do Jurumirim,Brazil,-23.2542,-49.0625,0,373.64,7008,18.8,155.18,522.7,560,56.26806551761054,SH,Hot,0.202,20.86708304972474
361,1233,GLWD00000361, Dniprodzerzhyns'ke reservoir,Ukraine,48.8403,34.0236,0,506.72,2460,4.9,1773.703,16.1,62,14.564256394063785,NT,Temperate,0.362,14.983244998357844
362,839,GLWD00000362, lake Sam Rayburn,United States,31.1403,-94.2153,0,380.2,7815.6,20.6,88.498,1022.2,48,61.66964755,NH,Hot,0.248,18.077091199286308
