"model","rmse","nse","r","bias","mae","nmae","phase","LakeID"
"GLM",0.775374179134016,0.977459655585221,0.991674992017844,-0.13213266262954,0.567776833160858,0.0613894416625936,"cali","WindermereSouthBasin"
"GLM",0.725179975231919,0.979058028808107,0.993237568061299,-0.0509746574033702,0.534830540031052,0.0490617346226203,"vali","WindermereSouthBasin"
