train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.76516974,1.2462039,0.09345347,0.9017772,0.49029955,0.6858166,1.4158679,0.12461159,1.0350189,0.82625085,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,56,100
0.98705584,0.80685025,0.03277987,0.61287254,0.1679862,0.978539,1.0314226,0.04267367,0.7877784,0.17749618,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,57,100
0.9729266,1.3838599,0.046446107,0.9217731,0.21017872,0.95972455,1.6971089,0.05731371,1.1529535,0.56832457,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,61,100
0.9391303,1.2666438,0.058343846,0.9221461,0.26733696,0.90492773,1.5373447,0.077802226,1.0982617,0.7188295,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,63,100
0.96043336,0.73987436,0.0484211,0.5684918,0.023585642,0.950748,0.7954579,0.05419463,0.59960735,0.024761494,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,65,100
0.9668763,0.89303625,0.045846052,0.68083036,0.13772121,0.93052447,1.3271118,0.06511189,0.9882779,0.31038138,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,68,100
0.9886115,0.87457204,0.030568752,0.6599634,0.14411555,0.98380315,1.0979935,0.03881587,0.81587315,0.21937953,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,71,100
0.9742254,0.9029908,0.037462905,0.67157567,0.11535203,0.9457557,1.3056672,0.06257145,0.96381074,0.20986533,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,72,100
0.9856363,0.9309727,0.03553894,0.71234655,0.16035374,0.97550374,1.2547512,0.047242567,0.95844537,0.4569736,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,75,100
0.98919976,0.6575214,0.02837571,0.50031036,0.026146106,0.979417,0.9280193,0.040542565,0.7097371,0.038668312,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,77,100
