train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,iter_seed,ps,seed
0.9936908,0.41022238,0.020899067,0.3082243,0.032195736,0.9824108,0.6645996,0.034328375,0.51580155,0.053906783,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,33,10,100
0.99087954,0.493218,0.025127336,0.35497063,0.036493327,0.9782297,0.7393829,0.038191136,0.5817016,0.060823534,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,44,10,100
0.9932984,0.4227859,0.021539124,0.30678886,0.034047026,0.97347873,0.816083,0.042152904,0.6236984,0.064723045,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,66,10,100
0.9955141,0.3459039,0.017622316,0.26239535,0.027284509,0.97816324,0.7405099,0.03824935,0.5492791,0.05338191,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,11,12,100
0.9924478,0.4488151,0.0228652,0.33420464,0.035185315,0.9725277,0.8305863,0.04290204,0.6420423,0.07306727,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,22,12,100
0.99508196,0.36218318,0.018451676,0.26295266,0.028688807,0.98522556,0.6091061,0.031461988,0.46845347,0.051311184,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,33,12,100
0.98945826,0.53025836,0.027014382,0.39223737,0.042207718,0.9772012,0.75664634,0.03908284,0.5982997,0.060914297,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,44,12,100
0.99254334,0.44596684,0.022720093,0.3261714,0.035214543,0.97911245,0.72423756,0.03740884,0.56771123,0.059594512,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,66,12,100
0.9937566,0.40807647,0.02078974,0.29756027,0.033826254,0.98829144,0.54223627,0.028007977,0.41679907,0.044375315,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,11,14,100
0.9948906,0.36916298,0.018807266,0.26580167,0.028037613,0.984893,0.6159219,0.031814042,0.4632175,0.0523789,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,22,14,100
0.9905761,0.50135654,0.02554196,0.33604267,0.03540585,0.97837603,0.73689365,0.03806256,0.56663424,0.056945134,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,33,14,100
0.99579334,0.3349663,0.017065093,0.24253473,0.025590742,0.9852144,0.60933566,0.03147384,0.4713941,0.04734662,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,44,14,100
0.99403787,0.39877874,0.020316062,0.30804366,0.03272483,0.9799474,0.7096144,0.03665351,0.5516603,0.05577245,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,66,14,100
0.9931301,0.42806208,0.021807922,0.30458903,0.03195438,0.98045534,0.7005688,0.03618628,0.5540457,0.058378506,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,11,16,100
0.99364644,0.41166028,0.02097232,0.29122806,0.03306433,0.98028535,0.7036095,0.036343344,0.5567997,0.060990248,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,22,16,100
0.9931157,0.42850912,0.021830697,0.30851495,0.032452893,0.9790817,0.7247705,0.037436366,0.567945,0.06102016,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,33,16,100
0.99604493,0.32479453,0.016546885,0.23764445,0.0269245,0.973905,0.8094975,0.041812744,0.60450715,0.072242305,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,44,16,100
0.9958442,0.33293566,0.01696164,0.22001857,0.023271453,0.98576283,0.59792745,0.030884579,0.43208146,0.0451995,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,66,16,100
0.99485534,0.37043294,0.018871965,0.2695369,0.028198482,0.9821573,0.6693715,0.034574855,0.5017323,0.05469053,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,11,18,100
0.99364424,0.4117319,0.02097597,0.309004,0.032768995,0.9797436,0.7132116,0.036839318,0.5669983,0.060133155,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,22,18,100
0.9933931,0.41978636,0.02138631,0.29812768,0.030004263,0.9817418,0.67712057,0.03497512,0.536609,0.057213753,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,33,18,100
0.993706,0.4097266,0.020873807,0.30854812,0.03288223,0.9810131,0.6905004,0.03566622,0.546778,0.06113108,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,44,18,100
0.9940785,0.39741775,0.020246726,0.2715091,0.029062316,0.98034745,0.7025,0.036286034,0.5735053,0.06514123,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,66,18,100
0.9930143,0.43165433,0.021990933,0.30638322,0.034920413,0.98079944,0.69437486,0.03586635,0.5410466,0.05911182,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,11,20,100
0.99359214,0.41341552,0.021061743,0.309018,0.03235572,0.98567134,0.59984565,0.030983659,0.4679291,0.045649473,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,22,20,100
0.99071056,0.49776605,0.02535904,0.35764086,0.038231958,0.97428715,0.8035485,0.041505463,0.6322907,0.072139226,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,33,20,100
0.99550897,0.3461026,0.017632438,0.24987544,0.026094113,0.9837829,0.6381513,0.032962248,0.5124175,0.055732515,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,44,20,100
0.99431217,0.38949686,0.01984319,0.2752844,0.02814754,0.98742414,0.5619613,0.029026829,0.44768414,0.048386123,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,66,20,100
0.9959166,0.33002195,0.016813198,0.21124157,0.02137415,0.9875564,0.5589974,0.028873734,0.42942372,0.04457151,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,11,22,100
0.9941703,0.39432478,0.020089151,0.29536518,0.03100582,0.9826353,0.66034406,0.034108564,0.52164847,0.056381628,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,22,22,100
0.9961451,0.32065377,0.01633593,0.22911015,0.024110198,0.9861038,0.59072524,0.030512564,0.45581752,0.052521463,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,33,22,100
0.9941981,0.39338398,0.020041222,0.26507622,0.027998066,0.9852826,0.6079288,0.031401176,0.49371642,0.05450425,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,44,22,100
0.99652064,0.3046357,0.015519879,0.21571791,0.023835655,0.9824309,0.6642201,0.034308773,0.4991531,0.059569597,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,66,22,100
0.9959982,0.3267061,0.016644271,0.23854597,0.02423831,0.9899719,0.50181824,0.025920276,0.38909683,0.042442117,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,11,24,100
0.99538565,0.3508221,0.017872877,0.26228335,0.030093938,0.98053914,0.69906545,0.03610863,0.5297381,0.061054185,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,22,24,100
0.99447745,0.38379562,0.019552736,0.28603137,0.029020498,0.98001236,0.7084641,0.036594097,0.54650813,0.061454423,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,33,24,100
0.9940706,0.3976826,0.020260219,0.28288677,0.03076348,0.9836818,0.6401377,0.03306485,0.5136244,0.055801783,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,44,24,100
0.99465704,0.377504,0.019232204,0.25350183,0.028041847,0.98095345,0.6915846,0.035722222,0.5251378,0.057304405,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,66,24,100
0.99500537,0.36499178,0.018594762,0.26041058,0.02725449,0.98250735,0.6627729,0.03423402,0.50054145,0.051883146,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,11,26,100
0.9943381,0.38860777,0.019797895,0.27576852,0.030704312,0.980019,0.70834714,0.036588054,0.5665488,0.060649615,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,22,26,100
0.9952401,0.3563108,0.018152503,0.24225734,0.0250801,0.98723674,0.56613165,0.029242238,0.43715927,0.04793238,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,33,26,100
