train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.80745125,1.1284502,0.08462305,0.8167665,0.46239972,0.6673491,1.4568857,0.12822159,1.0884001,1.0768422,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,56,100
0.9874161,0.7955427,0.032320477,0.6082386,0.12626655,0.97712463,1.0648673,0.044057395,0.79746544,0.17004198,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,57,100
0.97094774,1.4335437,0.04811363,0.9366687,0.21708773,0.96268046,1.6336453,0.055170458,1.0507681,0.5008871,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,61,100
0.9625201,0.9939234,0.045781866,0.73642176,0.19929041,0.9170046,1.4363867,0.07269292,1.0454129,0.42763555,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,63,100
0.9635974,0.70967525,0.046444718,0.54495883,0.02268258,0.94058925,0.8736505,0.0595219,0.67132854,0.027861334,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,65,100
0.97058356,0.8415791,0.043204382,0.6344723,0.123780034,0.92462754,1.3822858,0.06781889,1.0267817,0.3211284,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,68,100
0.99000347,0.8193847,0.0286398,0.6225504,0.12209021,0.9837904,1.0984247,0.03883111,0.79078794,0.21510935,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,71,100
0.97638,0.86442596,0.03586294,0.6407203,0.106176406,0.95600206,1.1759032,0.056352776,0.87731653,0.2045481,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,72,100
0.9878721,0.8554538,0.03265608,0.65371466,0.15531002,0.97952616,1.1471163,0.04319001,0.8903348,0.40724504,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,75,100
0.9900561,0.63091594,0.027227534,0.4804292,0.02476864,0.9832601,0.8369115,0.03656232,0.64421314,0.034068443,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,77,100
0.9868183,0.79253155,0.025119845,0.60049915,0.046001498,0.97089005,1.1899894,0.037394594,0.9176954,0.08268637,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,78,100
0.98875046,0.89898795,0.02900897,0.65281457,0.20152676,0.98116475,1.2233622,0.038795847,0.8331505,0.28320393,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,79,100
0.96478426,1.1904407,0.04805351,0.8759699,0.2712508,0.9356393,1.6253207,0.063700795,1.1464595,0.24354424,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,80,100
0.99172044,0.71806103,0.02523896,0.54860485,0.13605344,0.9881385,0.91028917,0.032510515,0.7063386,0.3211811,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,87,100
0.9663592,1.1925249,0.051074926,0.81485015,0.152529,0.92348206,1.8272293,0.07418045,1.2378529,0.3889989,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,88,100
0.9804363,0.5502013,0.040579267,0.37699762,0.1874131,0.97240245,0.6737734,0.04591304,0.5036065,0.3302222,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,91,100
0.97483486,1.0893154,0.045419086,0.8096324,0.22973098,0.9660847,1.3270357,0.055052478,1.0003128,0.42305446,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,93,100
0.98671556,0.6740948,0.02831496,0.49649617,0.145976,0.97864145,0.85053164,0.037954457,0.651261,0.38611287,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,95,100
0.9532724,0.80427015,0.048530404,0.6140759,0.022798657,0.94218844,0.9094453,0.05535448,0.7141726,0.026594473,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,98,100
0.9709672,0.8176967,0.0406705,0.61212164,0.08917205,0.9465691,1.2129596,0.05847324,0.9077254,0.19209936,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,100,100
0.97292316,1.1695054,0.046780214,0.7731428,0.2285922,0.9646287,1.348588,0.058011517,0.93317026,0.33523858,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,102,100
0.9874371,0.8112138,0.031236993,0.61380225,0.14967829,0.9780303,1.0701628,0.04173953,0.8021089,0.21815388,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,104,100
0.98233324,0.61107564,0.038120154,0.44501466,0.26605323,0.9730594,0.7652492,0.04933733,0.5609398,0.44208422,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,105,100
0.9828763,0.89684755,0.034967653,0.65594286,0.107472345,0.96757704,1.2051897,0.0482414,0.8808592,0.15286428,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,107,100
0.9908113,0.8033664,0.025268754,0.61979127,0.1190601,0.9799232,1.1525081,0.0354636,0.8925013,0.20579037,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,109,100
0.97936946,1.0461887,0.041237757,0.7690382,0.17044103,0.96682876,1.3898202,0.053883888,0.9956625,0.26536006,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,110,100
0.9605079,0.91285163,0.053967405,0.648804,0.2538313,0.9189667,1.4199567,0.056408126,1.0254241,0.72781533,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,112,100
0.9857001,0.93797296,0.032591138,0.66079307,0.18901727,0.9651373,1.4569108,0.04970692,0.9644689,0.48573858,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,113,100
0.9414061,0.8156295,0.04193873,0.6308947,0.030138427,0.9130203,0.9453334,0.051046208,0.7429616,0.034875657,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,114,100
0.98362184,0.80459,0.033834733,0.6109508,0.2287767,0.95407,1.3150077,0.054515094,0.97927123,0.19010596,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,118,100
0.98527765,0.9876364,0.03545261,0.72391576,0.14670745,0.9769762,1.2619222,0.046083443,0.91161424,0.29379508,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,122,100
0.9457931,1.0549288,0.055510063,0.7895704,0.21580982,0.8150278,1.8986634,0.10235592,1.3563801,0.41384467,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,124,100
