"LakeID","LakeTR","train_rmse","test_rmse","Source"
270,"Cool",0.9229084,1.3536708,"F"
273,"Cool",0.71602345,1.0619434,"F"
274,"Hot",1.0407267,1.4359791,"F"
275,"Frigid",0.9614242,1.4496515,"F"
279,"Warm",0.6693761,1.0311838,"F"
280,"Cool",0.84187084,1.2297629,"F"
281,"Cool",0.740515,1.0912988,"F"
285,"Cool",0.77529585,1.298764,"F"
287,"Warm",0.72447413,1.2170788,"F"
288,"Cool",0.8001279,1.3086473,"F"
289,"Hot",0.8011573,1.0485034,"F"
290,"Cool",0.6706396,1.283565,"F"
291,"Cool",0.7316827,1.1069252,"F"
292,"Cool",0.75542796,1.6926256,"F"
296,"Warm",0.79274195,1.0105978,"F"
298,"Warm",0.72496605,0.98787946,"F"
300,"Frigid",0.685181,1.0417354,"F"
301,"Cool",0.7520522,1.08041,"F"
303,"Cool",0.82061994,1.0253478,"F"
306,"Hot",0.6593711,0.94175136,"F"
312,"Frigid",0.7478598,1.03494,"F"
313,"Cool",0.7689171,1.2550657,"F"
319,"Frigid",0.784961,1.6088448,"F"
320,"Frigid",0.64557385,1.7693623,"F"
323,"Cool",0.68892217,1.0487094,"F"
324,"Frigid",0.8351803,1.7820338,"F"
326,"Cool",0.6840887,1.0635659,"F"
328,"Temperate",0.72022134,1.0425739,"F"
333,"Cool",0.7294763,1.3322104,"F"
334,"Cool",0.8599366,1.7955598,"F"
335,"Cool",0.7783706,1.7791953,"F"
336,"Frigid",0.7229762,0.95748633,"F"
337,"Cool",0.7272516,1.2529064,"F"
340,"Temperate",0.71969455,1.027247,"F"
342,"Hot",0.8402075,0.8741033,"F"
346,"Cool",0.7061732,1.1113365,"F"
353,"Frigid",0.72665054,1.6773392,"F"
354,"Frigid",0.57547617,0.69896805,"F"
356,"Cool",0.73756623,1.1159756,"F"
360,"Hot",0.66101635,0.8065188,"F"
361,"Temperate",0.69577855,1.0578654,"F"
362,"Hot",0.6525097,1.0635723,"F"
364,"Frigid",0.6951988,1.7321274,"F"
365,"Cool",0.6917781,2.0773005,"F"
366,"Temperate",0.62101185,0.95074713,"F"
367,"Cool",0.6671125,1.0712471,"F"
368,"Cool",0.6688049,1.3583872,"F"
369,"Cool",0.7355447,1.3513727,"F"
371,"Frigid",0.787534,1.4830362,"F"
372,"Hot",0.71585476,0.91278726,"F"
373,"Frigid",0.7131894,1.7690723,"F"
376,"Frigid",0.6818535,1.1617908,"F"
379,"Warm",0.6669594,0.8449956,"F"
382,"Frigid",0.50258404,0.7481343,"F"
383,"Frigid",0.5068381,0.66920674,"F"
386,"Hot",0.84910405,1.2916064,"F"
387,"Cool",0.7023809,1.0091754,"F"
389,"Frigid",0.8860341,1.2395028,"F"
391,"Cool",0.69687504,1.0978719,"F"
393,"Cool",0.63896966,0.88813174,"F"
395,"Frigid",0.8488779,1.4495714,"F"
396,"Frigid",0.60773253,2.2610857,"F"
400,"Frigid",0.67184734,1.2881908,"F"
402,"Cool",0.86203104,1.5256504,"F"
404,"Cool",0.8587921,1.2441621,"F"
405,"Cool",0.7105868,1.0666692,"F"
409,"Cool",0.86372596,1.3109906,"F"
411,"Warm",0.69395566,0.80842406,"F"
412,"Frigid",0.831999,1.3023331,"F"
413,"Frigid",0.7359705,1.5924526,"F"
417,"Frigid",0.78279185,1.6121378,"F"
419,"Cool",0.6279157,1.5542387,"F"
421,"Cool",0.63399625,1.3166144,"F"
422,"Cool",0.7918558,1.3435847,"F"
424,"Frigid",0.7931914,1.5389237,"F"
426,"Frigid",0.625551,1.2024474,"F"
427,"Cool",0.78971833,1.1296667,"F"
430,"Cool",0.724169,1.2121071,"F"
432,"Cool",0.9370323,1.5864123,"F"
434,"Cool",0.77584374,0.9939013,"F"
438,"Frigid",0.8154711,1.6377653,"F"
441,"Warm",0.947652,1.1942188,"F"
442,"Hot",0.681854,0.93683904,"F"
443,"Temperate",0.59711653,0.8522024,"F"
444,"Frigid",0.60970587,0.8867329,"F"
445,"Hot",0.81277823,1.0412034,"F"
448,"Temperate",0.7417951,0.9846506,"F"
449,"Frigid",0.51649636,1.7938402,"F"
454,"Cool",0.669728,1.0825332,"F"
456,"Frigid",0.7060868,1.0174767,"F"
458,"Cool",0.7100105,1.897767,"F"
460,"Warm",1.0624254,1.0477356,"F"
461,"Temperate",0.81072056,1.1416159,"F"
462,"Hot",0.5306268,0.6633246,"F"
464,"Temperate",0.96202016,1.6485289,"F"
465,"Cool",0.6783362,1.3401797,"F"
467,"Frigid",0.695814,1.7102029,"F"
471,"Temperate",0.6791203,1.0036242,"F"
472,"Cool",0.6433684,1.0598588,"F"
474,"Cool",0.7477463,1.2562535,"F"
477,"Hot",0.68729365,0.89491946,"F"
481,"Temperate",0.602258,0.8879494,"F"
482,"Cool",0.78692746,1.0725293,"F"
483,"Cool",0.8133236,1.2688475,"F"
484,"Hot",0.6962626,1.0821322,"F"
486,"Cool",0.7299238,1.1345828,"F"
488,"Warm",0.68613756,1.0082536,"F"
493,"Cool",0.92872554,1.3670388,"F"
494,"Hot",0.7003137,1.0757046,"F"
495,"Frigid",0.97875166,2.381953,"F"
496,"Hot",0.7053293,0.74358463,"F"
503,"Cool",0.65207875,1.9145042,"F"
508,"Cool",0.676769,1.1055946,"F"
510,"Hot",0.69144255,0.809113,"F"
514,"Cool",0.8052634,1.5813733,"F"
516,"Cool",0.7601642,1.2381893,"F"
517,"Cool",0.65911824,1.361606,"F"
519,"Frigid",0.69695276,1.8673996,"F"
522,"Cool",0.7935246,1.2937386,"F"
523,"Temperate",0.8332818,1.0841706,"F"
527,"Hot",0.78030336,1.1188669,"F"
528,"Hot",0.5783028,0.8334402,"F"
529,"Cool",0.6269609,1.0767105,"F"
530,"Cool",0.74874854,1.2666193,"F"
531,"Hot",0.629966,1.2051237,"F"
533,"Cool",0.7411738,1.2123686,"F"
534,"Hot",0.5635088,1.0186499,"F"
539,"Hot",0.6906924,1.4377612,"F"
543,"Cool",0.547323,0.82888466,"F"
545,"Cool",0.68120795,0.9577848,"F"
548,"Frigid",0.7647787,1.3276012,"F"
549,"Cool",0.8843795,1.1827784,"F"
553,"Hot",0.78923607,0.8658967,"F"
555,"Temperate",0.65386176,1.0685393,"F"
556,"Warm",0.67090595,0.9546388,"F"
557,"Frigid",0.8057012,1.5102594,"F"
558,"Temperate",0.8489384,1.3289874,"F"
562,"Warm",0.7322136,0.9272135,"F"
566,"Cool",0.680668,1.0742661,"F"
567,"Hot",0.8800043,1.224249,"F"
568,"Frigid",0.7265463,1.6890126,"F"
569,"Cool",0.6517803,1.2130537,"F"
570,"Cool",0.8574088,1.3777713,"F"
571,"Temperate",1.0537422,1.4953717,"F"
573,"Temperate",0.6967692,1.1586417,"F"
576,"Hot",0.8841099,1.066347,"F"
590,"Hot",1.0097963,1.229154,"F"
594,"Frigid",0.6927012,1.1178287,"F"
601,"Temperate",0.8385522,1.0098454,"F"
603,"Hot",0.5830102,0.85917133,"F"
623,"Hot",0.7778981,1.2554079,"F"
624,"Cool",0.7726344,1.2605613,"F"
630,"Frigid",0.85312897,1.1555951,"F"
634,"Warm",0.6186256,0.92347264,"F"
635,"Frigid",0.71679914,1.6761905,"F"
637,"Hot",0.8024256,1.0367095,"F"
639,"Frigid",0.8898748,1.508105,"F"
645,"Cool",0.84838504,1.1283116,"F"
646,"Cool",0.6458077,1.0485371,"F"
648,"Hot",1.3174078,1.4260628,"F"
654,"Cool",0.6143456,1.1039298,"F"
657,"Cool",0.7244981,1.1580552,"F"
672,"Cool",0.687997,1.0992082,"F"
679,"Cool",0.72053707,1.108421,"F"
681,"Cool",0.75995153,0.9551268,"F"
684,"Cool",0.7554233,1.0755278,"F"
710,"Frigid",0.5901378,1.1089576,"F"
713,"Cool",0.7210413,1.0603887,"F"
725,"Frigid",0.7189484,1.0329554,"F"
728,"Cool",0.77946144,1.198148,"F"
733,"Cool",0.7308296,0.9998442,"F"
736,"Frigid",0.55965704,1.0338166,"F"
744,"Cool",0.6489661,1.0354241,"F"
754,"Cool",0.79572266,1.075893,"F"
758,"Frigid",0.86246717,1.250868,"F"
767,"Warm",0.549964,0.74478656,"F"
770,"Hot",0.607265,0.9945962,"F"
771,"Cool",0.7271246,1.1905383,"F"
779,"Cool",0.7179207,1.0136193,"F"
792,"Frigid",0.744377,1.4646695,"F"
