"lake_id","test_rmse","Model"
254,1.7171627,"Transfer-PIDL-Frigid"
258,1.2936382,"Transfer-PIDL-Frigid"
259,0.8928157,"Transfer-PIDL-Frigid"
261,0.7993033,"Transfer-PIDL-Frigid"
264,1.753938,"Transfer-PIDL-Frigid"
266,1.0667709,"Transfer-PIDL-Frigid"
267,0.90279377,"Transfer-PIDL-Frigid"
268,1.0174292,"Transfer-PIDL-Frigid"
269,1.6561329,"Transfer-PIDL-Frigid"
270,1.3536708,"Transfer-PIDL-Frigid"
273,1.0619434,"Transfer-PIDL-Frigid"
274,1.4359791,"Transfer-PIDL-Frigid"
275,1.4496515,"Transfer-PIDL-Frigid"
279,1.0311838,"Transfer-PIDL-Frigid"
280,1.2297629,"Transfer-PIDL-Frigid"
281,1.0912988,"Transfer-PIDL-Frigid"
285,1.298764,"Transfer-PIDL-Frigid"
287,1.2170788,"Transfer-PIDL-Frigid"
288,1.3086473,"Transfer-PIDL-Frigid"
289,1.0485034,"Transfer-PIDL-Frigid"
290,1.283565,"Transfer-PIDL-Frigid"
291,1.1069252,"Transfer-PIDL-Frigid"
292,1.6926256,"Transfer-PIDL-Frigid"
296,1.0105978,"Transfer-PIDL-Frigid"
298,0.98787946,"Transfer-PIDL-Frigid"
300,1.0417354,"Transfer-PIDL-Frigid"
301,1.08041,"Transfer-PIDL-Frigid"
303,1.0253478,"Transfer-PIDL-Frigid"
306,0.94175136,"Transfer-PIDL-Frigid"
312,1.03494,"Transfer-PIDL-Frigid"
313,1.2550657,"Transfer-PIDL-Frigid"
319,1.6088448,"Transfer-PIDL-Frigid"
320,1.7693623,"Transfer-PIDL-Frigid"
323,1.0487094,"Transfer-PIDL-Frigid"
324,1.7820338,"Transfer-PIDL-Frigid"
326,1.0635659,"Transfer-PIDL-Frigid"
328,1.0425739,"Transfer-PIDL-Frigid"
333,1.3322104,"Transfer-PIDL-Frigid"
334,1.7955598,"Transfer-PIDL-Frigid"
335,1.7791953,"Transfer-PIDL-Frigid"
336,0.95748633,"Transfer-PIDL-Frigid"
337,1.2529064,"Transfer-PIDL-Frigid"
340,1.027247,"Transfer-PIDL-Frigid"
342,0.8741033,"Transfer-PIDL-Frigid"
346,1.1113365,"Transfer-PIDL-Frigid"
353,1.6773392,"Transfer-PIDL-Frigid"
354,0.69896805,"Transfer-PIDL-Frigid"
356,1.1159756,"Transfer-PIDL-Frigid"
360,0.8065188,"Transfer-PIDL-Frigid"
361,1.0578654,"Transfer-PIDL-Frigid"
362,1.0635723,"Transfer-PIDL-Frigid"
364,1.7321274,"Transfer-PIDL-Frigid"
365,2.0773005,"Transfer-PIDL-Frigid"
366,0.95074713,"Transfer-PIDL-Frigid"
367,1.0712471,"Transfer-PIDL-Frigid"
368,1.3583872,"Transfer-PIDL-Frigid"
369,1.3513727,"Transfer-PIDL-Frigid"
371,1.4830362,"Transfer-PIDL-Frigid"
372,0.91278726,"Transfer-PIDL-Frigid"
373,1.7690723,"Transfer-PIDL-Frigid"
376,1.1617908,"Transfer-PIDL-Frigid"
379,0.8449956,"Transfer-PIDL-Frigid"
382,0.7481343,"Transfer-PIDL-Frigid"
383,0.66920674,"Transfer-PIDL-Frigid"
386,1.2916064,"Transfer-PIDL-Frigid"
387,1.0091754,"Transfer-PIDL-Frigid"
389,1.2395028,"Transfer-PIDL-Frigid"
391,1.0978719,"Transfer-PIDL-Frigid"
393,0.88813174,"Transfer-PIDL-Frigid"
395,1.4495714,"Transfer-PIDL-Frigid"
396,2.2610857,"Transfer-PIDL-Frigid"
400,1.2881908,"Transfer-PIDL-Frigid"
402,1.5256504,"Transfer-PIDL-Frigid"
404,1.2441621,"Transfer-PIDL-Frigid"
405,1.0666692,"Transfer-PIDL-Frigid"
409,1.3109906,"Transfer-PIDL-Frigid"
411,0.80842406,"Transfer-PIDL-Frigid"
412,1.3023331,"Transfer-PIDL-Frigid"
413,1.5924526,"Transfer-PIDL-Frigid"
417,1.6121378,"Transfer-PIDL-Frigid"
419,1.5542387,"Transfer-PIDL-Frigid"
421,1.3166144,"Transfer-PIDL-Frigid"
422,1.3435847,"Transfer-PIDL-Frigid"
424,1.5389237,"Transfer-PIDL-Frigid"
426,1.2024474,"Transfer-PIDL-Frigid"
427,1.1296667,"Transfer-PIDL-Frigid"
430,1.2121071,"Transfer-PIDL-Frigid"
432,1.5864123,"Transfer-PIDL-Frigid"
434,0.9939013,"Transfer-PIDL-Frigid"
438,1.6377653,"Transfer-PIDL-Frigid"
441,1.1942188,"Transfer-PIDL-Frigid"
442,0.93683904,"Transfer-PIDL-Frigid"
443,0.8522024,"Transfer-PIDL-Frigid"
444,0.8867329,"Transfer-PIDL-Frigid"
445,1.0412034,"Transfer-PIDL-Frigid"
448,0.9846506,"Transfer-PIDL-Frigid"
449,1.7938402,"Transfer-PIDL-Frigid"
454,1.0825332,"Transfer-PIDL-Frigid"
456,1.0174767,"Transfer-PIDL-Frigid"
458,1.897767,"Transfer-PIDL-Frigid"
460,1.0477356,"Transfer-PIDL-Frigid"
461,1.1416159,"Transfer-PIDL-Frigid"
