"LakeID","LakeTR","train_rmse","test_rmse","Source","Scenario"
212,"F",0.7866922,1.7448819,"F","Intra-domain transfer"
216,"H",0.8355351,0.9819114,"F","Cross-domain transfer"
217,"H",0.83529013,0.886715,"F","Cross-domain transfer"
220,"W",0.7502543,1.0740788,"F","Cross-domain transfer"
222,"C",0.8590176,1.3213131,"F","Cross-domain transfer"
223,"C",0.6940025,1.3084363,"F","Cross-domain transfer"
224,"C",0.5933237,1.2311051,"F","Cross-domain transfer"
225,"C",0.79324454,1.0066857,"F","Cross-domain transfer"
226,"F",0.8825936,1.6590056,"F","Intra-domain transfer"
227,"F",0.865802,1.8860239,"F","Intra-domain transfer"
228,"C",0.6096891,1.076656,"F","Cross-domain transfer"
232,"F",0.7312017,1.8853297,"F","Intra-domain transfer"
234,"H",0.7244436,0.75288254,"F","Cross-domain transfer"
236,"T",0.7197246,0.98391676,"F","Cross-domain transfer"
237,"C",0.7310343,1.0514355,"F","Cross-domain transfer"
239,"T",0.7501558,1.0756518,"F","Cross-domain transfer"
240,"F",0.6883999,1.6372819,"F","Intra-domain transfer"
241,"T",0.7147564,0.9749068,"F","Cross-domain transfer"
242,"C",0.6639816,1.1435473,"F","Cross-domain transfer"
243,"H",0.7487464,1.0015991,"F","Cross-domain transfer"
246,"F",0.72834516,1.717454,"F","Intra-domain transfer"
248,"T",0.71225363,1.3523811,"F","Cross-domain transfer"
249,"H",0.52334344,0.88317686,"F","Cross-domain transfer"
251,"C",0.82356435,1.1137847,"F","Cross-domain transfer"
252,"F",0.70643437,1.8293154,"F","Intra-domain transfer"
254,"F",0.79511404,1.7171627,"F","Intra-domain transfer"
258,"F",0.82623774,1.2936382,"F","Intra-domain transfer"
259,"H",0.8574001,0.8928157,"F","Cross-domain transfer"
261,"C",0.7490526,0.7993033,"F","Cross-domain transfer"
264,"F",0.8382736,1.753938,"F","Intra-domain transfer"
266,"H",0.87676126,1.0667709,"F","Cross-domain transfer"
267,"W",0.6847014,0.90279377,"F","Cross-domain transfer"
268,"W",0.7247409,1.0174292,"F","Cross-domain transfer"
269,"F",0.8818741,1.6561329,"F","Intra-domain transfer"
270,"C",0.9229084,1.3536708,"F","Cross-domain transfer"
273,"C",0.71602345,1.0619434,"F","Cross-domain transfer"
274,"H",1.0407267,1.4359791,"F","Cross-domain transfer"
275,"F",0.9614242,1.4496515,"F","Intra-domain transfer"
279,"W",0.6693761,1.0311838,"F","Cross-domain transfer"
280,"C",0.84187084,1.2297629,"F","Cross-domain transfer"
281,"C",0.740515,1.0912988,"F","Cross-domain transfer"
285,"C",0.77529585,1.298764,"F","Cross-domain transfer"
287,"W",0.72447413,1.2170788,"F","Cross-domain transfer"
288,"C",0.8001279,1.3086473,"F","Cross-domain transfer"
289,"H",0.8011573,1.0485034,"F","Cross-domain transfer"
290,"C",0.6706396,1.283565,"F","Cross-domain transfer"
291,"C",0.7316827,1.1069252,"F","Cross-domain transfer"
292,"C",0.75542796,1.6926256,"F","Cross-domain transfer"
296,"W",0.79274195,1.0105978,"F","Cross-domain transfer"
298,"W",0.72496605,0.98787946,"F","Cross-domain transfer"
300,"F",0.685181,1.0417354,"F","Intra-domain transfer"
301,"C",0.7520522,1.08041,"F","Cross-domain transfer"
303,"C",0.82061994,1.0253478,"F","Cross-domain transfer"
306,"H",0.6593711,0.94175136,"F","Cross-domain transfer"
312,"F",0.7478598,1.03494,"F","Intra-domain transfer"
313,"C",0.7689171,1.2550657,"F","Cross-domain transfer"
319,"F",0.784961,1.6088448,"F","Intra-domain transfer"
320,"F",0.64557385,1.7693623,"F","Intra-domain transfer"
323,"C",0.68892217,1.0487094,"F","Cross-domain transfer"
324,"F",0.8351803,1.7820338,"F","Intra-domain transfer"
326,"C",0.6840887,1.0635659,"F","Cross-domain transfer"
328,"T",0.72022134,1.0425739,"F","Cross-domain transfer"
333,"C",0.7294763,1.3322104,"F","Cross-domain transfer"
334,"C",0.8599366,1.7955598,"F","Cross-domain transfer"
335,"C",0.7783706,1.7791953,"F","Cross-domain transfer"
336,"F",0.7229762,0.95748633,"F","Intra-domain transfer"
337,"C",0.7272516,1.2529064,"F","Cross-domain transfer"
340,"T",0.71969455,1.027247,"F","Cross-domain transfer"
342,"H",0.8402075,0.8741033,"F","Cross-domain transfer"
346,"C",0.7061732,1.1113365,"F","Cross-domain transfer"
353,"F",0.72665054,1.6773392,"F","Intra-domain transfer"
354,"F",0.57547617,0.69896805,"F","Intra-domain transfer"
356,"C",0.73756623,1.1159756,"F","Cross-domain transfer"
360,"H",0.66101635,0.8065188,"F","Cross-domain transfer"
361,"T",0.69577855,1.0578654,"F","Cross-domain transfer"
362,"H",0.6525097,1.0635723,"F","Cross-domain transfer"
364,"F",0.6951988,1.7321274,"F","Intra-domain transfer"
365,"C",0.6917781,2.0773005,"F","Cross-domain transfer"
366,"T",0.62101185,0.95074713,"F","Cross-domain transfer"
367,"C",0.6671125,1.0712471,"F","Cross-domain transfer"
368,"C",0.6688049,1.3583872,"F","Cross-domain transfer"
369,"C",0.7355447,1.3513727,"F","Cross-domain transfer"
371,"F",0.787534,1.4830362,"F","Intra-domain transfer"
372,"H",0.71585476,0.91278726,"F","Cross-domain transfer"
373,"F",0.7131894,1.7690723,"F","Intra-domain transfer"
376,"F",0.6818535,1.1617908,"F","Intra-domain transfer"
379,"W",0.6669594,0.8449956,"F","Cross-domain transfer"
382,"F",0.50258404,0.7481343,"F","Intra-domain transfer"
383,"F",0.5068381,0.66920674,"F","Intra-domain transfer"
386,"H",0.84910405,1.2916064,"F","Cross-domain transfer"
387,"C",0.7023809,1.0091754,"F","Cross-domain transfer"
389,"F",0.8860341,1.2395028,"F","Intra-domain transfer"
391,"C",0.69687504,1.0978719,"F","Cross-domain transfer"
393,"C",0.63896966,0.88813174,"F","Cross-domain transfer"
395,"F",0.8488779,1.4495714,"F","Intra-domain transfer"
396,"F",0.60773253,2.2610857,"F","Intra-domain transfer"
400,"F",0.67184734,1.2881908,"F","Intra-domain transfer"
402,"C",0.86203104,1.5256504,"F","Cross-domain transfer"
404,"C",0.8587921,1.2441621,"F","Cross-domain transfer"
405,"C",0.7105868,1.0666692,"F","Cross-domain transfer"
409,"C",0.86372596,1.3109906,"F","Cross-domain transfer"
411,"W",0.69395566,0.80842406,"F","Cross-domain transfer"
412,"F",0.831999,1.3023331,"F","Intra-domain transfer"
413,"F",0.7359705,1.5924526,"F","Intra-domain transfer"
417,"F",0.78279185,1.6121378,"F","Intra-domain transfer"
419,"C",0.6279157,1.5542387,"F","Cross-domain transfer"
421,"C",0.63399625,1.3166144,"F","Cross-domain transfer"
422,"C",0.7918558,1.3435847,"F","Cross-domain transfer"
424,"F",0.7931914,1.5389237,"F","Intra-domain transfer"
426,"F",0.625551,1.2024474,"F","Intra-domain transfer"
427,"C",0.78971833,1.1296667,"F","Cross-domain transfer"
430,"C",0.724169,1.2121071,"F","Cross-domain transfer"
432,"C",0.9370323,1.5864123,"F","Cross-domain transfer"
434,"C",0.77584374,0.9939013,"F","Cross-domain transfer"
438,"F",0.8154711,1.6377653,"F","Intra-domain transfer"
441,"W",0.947652,1.1942188,"F","Cross-domain transfer"
442,"H",0.681854,0.93683904,"F","Cross-domain transfer"
443,"T",0.59711653,0.8522024,"F","Cross-domain transfer"
444,"F",0.60970587,0.8867329,"F","Intra-domain transfer"
445,"H",0.81277823,1.0412034,"F","Cross-domain transfer"
448,"T",0.7417951,0.9846506,"F","Cross-domain transfer"
449,"F",0.51649636,1.7938402,"F","Intra-domain transfer"
454,"C",0.669728,1.0825332,"F","Cross-domain transfer"
456,"F",0.7060868,1.0174767,"F","Intra-domain transfer"
458,"C",0.7100105,1.897767,"F","Cross-domain transfer"
460,"W",1.0624254,1.0477356,"F","Cross-domain transfer"
461,"T",0.81072056,1.1416159,"F","Cross-domain transfer"
462,"H",0.5306268,0.6633246,"F","Cross-domain transfer"
464,"T",0.96202016,1.6485289,"F","Cross-domain transfer"
465,"C",0.6783362,1.3401797,"F","Cross-domain transfer"
467,"F",0.695814,1.7102029,"F","Intra-domain transfer"
471,"T",0.6791203,1.0036242,"F","Cross-domain transfer"
472,"C",0.6433684,1.0598588,"F","Cross-domain transfer"
474,"C",0.7477463,1.2562535,"F","Cross-domain transfer"
477,"H",0.68729365,0.89491946,"F","Cross-domain transfer"
481,"T",0.602258,0.8879494,"F","Cross-domain transfer"
482,"C",0.78692746,1.0725293,"F","Cross-domain transfer"
483,"C",0.8133236,1.2688475,"F","Cross-domain transfer"
484,"H",0.6962626,1.0821322,"F","Cross-domain transfer"
486,"C",0.7299238,1.1345828,"F","Cross-domain transfer"
488,"W",0.68613756,1.0082536,"F","Cross-domain transfer"
493,"C",0.92872554,1.3670388,"F","Cross-domain transfer"
494,"H",0.7003137,1.0757046,"F","Cross-domain transfer"
495,"F",0.97875166,2.381953,"F","Intra-domain transfer"
496,"H",0.7053293,0.74358463,"F","Cross-domain transfer"
503,"C",0.65207875,1.9145042,"F","Cross-domain transfer"
508,"C",0.676769,1.1055946,"F","Cross-domain transfer"
510,"H",0.69144255,0.809113,"F","Cross-domain transfer"
514,"C",0.8052634,1.5813733,"F","Cross-domain transfer"
516,"C",0.7601642,1.2381893,"F","Cross-domain transfer"
517,"C",0.65911824,1.361606,"F","Cross-domain transfer"
519,"F",0.69695276,1.8673996,"F","Intra-domain transfer"
522,"C",0.7935246,1.2937386,"F","Cross-domain transfer"
523,"T",0.8332818,1.0841706,"F","Cross-domain transfer"
527,"H",0.78030336,1.1188669,"F","Cross-domain transfer"
528,"H",0.5783028,0.8334402,"F","Cross-domain transfer"
529,"C",0.6269609,1.0767105,"F","Cross-domain transfer"
530,"C",0.74874854,1.2666193,"F","Cross-domain transfer"
531,"H",0.629966,1.2051237,"F","Cross-domain transfer"
533,"C",0.7411738,1.2123686,"F","Cross-domain transfer"
534,"H",0.5635088,1.0186499,"F","Cross-domain transfer"
539,"H",0.6906924,1.4377612,"F","Cross-domain transfer"
543,"C",0.547323,0.82888466,"F","Cross-domain transfer"
545,"C",0.68120795,0.9577848,"F","Cross-domain transfer"
548,"F",0.7647787,1.3276012,"F","Intra-domain transfer"
549,"C",0.8843795,1.1827784,"F","Cross-domain transfer"
553,"H",0.78923607,0.8658967,"F","Cross-domain transfer"
555,"T",0.65386176,1.0685393,"F","Cross-domain transfer"
556,"W",0.67090595,0.9546388,"F","Cross-domain transfer"
557,"F",0.8057012,1.5102594,"F","Intra-domain transfer"
558,"T",0.8489384,1.3289874,"F","Cross-domain transfer"
562,"W",0.7322136,0.9272135,"F","Cross-domain transfer"
566,"C",0.680668,1.0742661,"F","Cross-domain transfer"
567,"H",0.8800043,1.224249,"F","Cross-domain transfer"
568,"F",0.7265463,1.6890126,"F","Intra-domain transfer"
569,"C",0.6517803,1.2130537,"F","Cross-domain transfer"
570,"C",0.8574088,1.3777713,"F","Cross-domain transfer"
571,"T",1.0537422,1.4953717,"F","Cross-domain transfer"
573,"T",0.6967692,1.1586417,"F","Cross-domain transfer"
576,"H",0.8841099,1.066347,"F","Cross-domain transfer"
590,"H",1.0097963,1.229154,"F","Cross-domain transfer"
594,"F",0.6927012,1.1178287,"F","Intra-domain transfer"
601,"T",0.8385522,1.0098454,"F","Cross-domain transfer"
603,"H",0.5830102,0.85917133,"F","Cross-domain transfer"
623,"H",0.7778981,1.2554079,"F","Cross-domain transfer"
624,"C",0.7726344,1.2605613,"F","Cross-domain transfer"
630,"F",0.85312897,1.1555951,"F","Intra-domain transfer"
634,"W",0.6186256,0.92347264,"F","Cross-domain transfer"
635,"F",0.71679914,1.6761905,"F","Intra-domain transfer"
637,"H",0.8024256,1.0367095,"F","Cross-domain transfer"
639,"F",0.8898748,1.508105,"F","Intra-domain transfer"
645,"C",0.84838504,1.1283116,"F","Cross-domain transfer"
646,"C",0.6458077,1.0485371,"F","Cross-domain transfer"
648,"H",1.3174078,1.4260628,"F","Cross-domain transfer"
654,"C",0.6143456,1.1039298,"F","Cross-domain transfer"
657,"C",0.7244981,1.1580552,"F","Cross-domain transfer"
672,"C",0.687997,1.0992082,"F","Cross-domain transfer"
679,"C",0.72053707,1.108421,"F","Cross-domain transfer"
681,"C",0.75995153,0.9551268,"F","Cross-domain transfer"
684,"C",0.7554233,1.0755278,"F","Cross-domain transfer"
710,"F",0.5901378,1.1089576,"F","Intra-domain transfer"
713,"C",0.7210413,1.0603887,"F","Cross-domain transfer"
725,"F",0.7189484,1.0329554,"F","Intra-domain transfer"
728,"C",0.77946144,1.198148,"F","Cross-domain transfer"
733,"C",0.7308296,0.9998442,"F","Cross-domain transfer"
736,"F",0.55965704,1.0338166,"F","Intra-domain transfer"
744,"C",0.6489661,1.0354241,"F","Cross-domain transfer"
754,"C",0.79572266,1.075893,"F","Cross-domain transfer"
758,"F",0.86246717,1.250868,"F","Intra-domain transfer"
767,"W",0.549964,0.74478656,"F","Cross-domain transfer"
770,"H",0.607265,0.9945962,"F","Cross-domain transfer"
771,"C",0.7271246,1.1905383,"F","Cross-domain transfer"
779,"C",0.7179207,1.0136193,"F","Cross-domain transfer"
792,"F",0.744377,1.4646695,"F","Intra-domain transfer"
797,"C",0.6324861,1.0599704,"F","Cross-domain transfer"
800,"W",0.9822304,1.2505581,"F","Cross-domain transfer"
804,"C",0.71996826,1.2959868,"F","Cross-domain transfer"
805,"C",0.6283769,1.0802658,"F","Cross-domain transfer"
810,"C",0.6913613,1.184791,"F","Cross-domain transfer"
819,"F",0.6452524,0.9710729,"F","Intra-domain transfer"
824,"W",0.67349416,0.9066381,"F","Cross-domain transfer"
825,"C",0.65029806,1.234459,"F","Cross-domain transfer"
827,"C",0.81659734,1.0579154,"F","Cross-domain transfer"
829,"H",0.77700675,0.9672198,"F","Cross-domain transfer"
840,"T",0.6885872,1.0326319,"F","Cross-domain transfer"
849,"C",0.8287764,1.27567,"F","Cross-domain transfer"
881,"W",0.67703855,0.94823664,"F","Cross-domain transfer"
883,"W",0.6857561,1.0338386,"F","Cross-domain transfer"
893,"T",0.6905662,1.0464303,"F","Cross-domain transfer"
894,"T",0.8101236,1.0969207,"F","Cross-domain transfer"
904,"C",0.73148906,1.1061472,"F","Cross-domain transfer"
905,"T",0.6298972,0.9620283,"F","Cross-domain transfer"
907,"T",0.75536394,1.1380817,"F","Cross-domain transfer"
908,"C",0.6461008,1.133461,"F","Cross-domain transfer"
910,"C",0.67737293,1.066654,"F","Cross-domain transfer"
913,"C",0.44613287,0.6723358,"F","Cross-domain transfer"
920,"C",0.72752786,0.9958183,"F","Cross-domain transfer"
924,"F",0.78563124,1.2778362,"F","Intra-domain transfer"
929,"H",0.7263862,0.91726464,"F","Cross-domain transfer"
931,"W",0.66744417,1.0574067,"F","Cross-domain transfer"
936,"C",0.693065,1.2570375,"F","Cross-domain transfer"
945,"W",0.8159947,1.004706,"F","Cross-domain transfer"
949,"C",0.72422576,1.1751095,"F","Cross-domain transfer"
976,"C",0.703623,1.4197505,"F","Cross-domain transfer"
977,"C",0.6717317,1.0487576,"F","Cross-domain transfer"
982,"C",0.7121559,1.2611516,"F","Cross-domain transfer"
1003,"C",0.82603204,1.1477946,"F","Cross-domain transfer"
1009,"C",0.6633578,1.2114526,"F","Cross-domain transfer"
1011,"C",0.8815035,1.2741559,"F","Cross-domain transfer"
1019,"C",0.71200436,1.3567301,"F","Cross-domain transfer"
1026,"T",0.76530194,0.94607127,"F","Cross-domain transfer"
1028,"C",0.6943944,0.9319766,"F","Cross-domain transfer"
1050,"C",1.0527589,1.3213967,"F","Cross-domain transfer"
1053,"C",0.8174223,1.3927015,"F","Cross-domain transfer"
1057,"W",0.6266983,1.0088835,"F","Cross-domain transfer"
1061,"C",0.64592576,1.1321881,"F","Cross-domain transfer"
1062,"C",0.6242989,1.1458982,"F","Cross-domain transfer"
1066,"C",0.5782035,0.8418592,"F","Cross-domain transfer"
1071,"T",0.631588,1.2751358,"F","Cross-domain transfer"
1075,"T",0.65123224,1.1103923,"F","Cross-domain transfer"
1083,"T",1.0442449,1.4840955,"F","Cross-domain transfer"
1107,"H",0.55941814,1.0717605,"F","Cross-domain transfer"
1110,"W",0.639923,1.0110669,"F","Cross-domain transfer"
