train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,model_idx
0.9865421,0.966644,0.03403676,0.7487116,0.06039232,0.9865421,0.966644,0.03403676,0.7487116,0.06039232,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.1,0
0.98609346,0.9826239,0.03459943,0.751263,0.056593157,0.98609346,0.9826239,0.03459943,0.751263,0.056593157,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,1
0.9862307,0.97776556,0.03442836,0.7462846,0.059225336,0.9862307,0.97776556,0.03442836,0.7462846,0.059225336,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,2
