train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.93562174,1.4315178,0.060534038,0.9977202,0.04914985,0.8658599,1.6434603,0.09328324,1.275274,0.057327405,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_32,100
0.9929362,0.69265777,0.02570761,0.51993436,0.090686545,0.9723487,1.3977352,0.053555083,1.0463263,0.14465004,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_34,100
0.99210477,0.7690007,0.028092733,0.6056211,0.07565453,0.9636136,1.7635057,0.06365593,1.265015,0.21295631,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_35,100
0.9898803,0.85298175,0.03253044,0.59225184,0.078009285,0.9519642,1.8385688,0.07364555,1.2396133,0.10700298,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_36,100
0.979568,0.96899927,0.03704278,0.7451981,0.08299818,0.92380714,1.635127,0.061905365,1.2558905,0.15120807,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_37,100
0.9828806,0.8133918,0.039052628,0.6208443,0.042603623,0.81749594,2.150221,0.114701085,1.4166967,0.082801886,200.0,128.0,0.0005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_38,100
0.9522867,1.0279517,0.05615667,0.80891645,0.045163274,0.86051095,1.7761278,0.09079699,1.2863195,0.06906706,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_39,100
0.9449922,1.4605819,0.06802633,1.0578467,0.15871568,0.79906666,2.6747518,0.116272494,1.970639,0.19305953,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_40,100
0.9007374,1.3059332,0.07629657,1.0526075,0.056146547,0.7004186,2.1930559,0.11934998,1.7274405,0.09112688,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_41,100
0.9940457,0.5659418,0.023261866,0.44071817,0.08811824,0.91900444,2.1608028,0.08399623,1.7634243,0.20596445,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_42,100
0.9917712,0.5558999,0.028979057,0.41438994,0.020263435,0.8816993,1.402762,0.095820725,1.1727184,0.06977049,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_43,100
0.9814543,1.076672,0.037384443,0.84424627,0.19960739,0.9719109,1.2861066,0.046499785,0.97095025,0.12866764,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_44,100
0.98027414,1.0064672,0.041889317,0.7416516,3.588603,0.9798845,1.0398394,0.041526236,0.8069354,7.8291526,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_45,100
0.92730975,1.014024,0.074229695,0.6530946,0.039237175,0.8624345,1.3235021,0.09587254,0.99689066,0.0585518,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_46,100
0.9258982,1.2885599,0.057524998,0.9839703,0.103249334,0.9048552,1.4892527,0.06310393,1.1468246,0.10599114,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_47,100
