train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,model_idx
0.9716748,0.9226789,0.038465366,0.7343752,0.48947358,0.9716748,0.9226789,0.038465366,0.7343752,0.48947358,400.0,128.0,0.005,48.0,2.0,32.0,12.0,0.1,0
0.98481125,0.67565477,0.02816723,0.4657927,0.32097295,0.98481125,0.67565477,0.02816723,0.4657927,0.32097295,400.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,1
0.98566383,0.6564182,0.02736528,0.46428382,0.36627617,0.98566383,0.6564182,0.02736528,0.46428382,0.36627617,400.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,2
