rmse,nse,r,bias,mae,nmae,par_id
5.7867439157513,-0.255470193264431,0.965120086837293,-5.60919142092049,5.60919142092049,0.598679568495355,p001
8.137593524488,-1.48273213083907,0.916220017461416,-7.64527995489093,7.64527995489093,0.738528231196041,p002
7.43279949828081,-1.07129861362166,0.94028506154968,-7.10380384360804,7.10380384360804,0.70802937492237,p003
4.31461631441672,0.302053326697821,0.92545961670596,-1.7608293938532,3.78476880362223,0.452784160908813,p004
7.60313091381117,-1.16731888778986,0.93639609992058,-7.26210790399689,7.26210790399689,0.717435545181637,p005
5.9281775876338,-0.317589997514463,0.935945487873482,-5.57061363677513,5.57061363677513,0.571412580485704,p006
2.91707975285995,0.680967824959399,0.978754607548855,2.26707695927183,2.27458897149507,0.198177185801801,p007
5.45585605407028,-0.115998692926835,0.953960825779876,-5.21470897937209,5.21470897937209,0.577458827047983,p008
2.66883989513774,0.732955940665258,0.988146698921698,2.40588271405565,2.40588271405565,0.24332658630794,p009
7.47681125289004,-1.09590075258253,0.935320478953308,6.93131041677911,6.93131041677911,0.7446892881952,p010
3.74820595398442,0.473273981732371,0.97629418257517,3.42510378288898,3.42597864780303,0.362561913443173,p011
1.94203130113677,0.858599700310685,0.972446622530717,-1.39117313266887,1.43987838540339,0.1225498267935,p012
1.30707550765812,0.935947035792218,0.989535070744428,-0.915905449890649,1.03241723553466,0.14386013090924,p013
0.927608934792369,0.967739750249361,0.994182943403172,-0.168638600281469,0.752454888695612,0.0989044621569402,p014
2.44283021405457,0.776269885545898,0.984620845147684,-2.24440576839253,2.24478759075108,0.273732731719159,p015
4.45891818840011,0.254587129581201,0.948215878667366,-4.09832611674388,4.09832611674388,0.424653528818822,p016
10.0106768336507,-2.75720388083622,0.786536802887731,-9.26991240798999,9.26991240798999,0.860058448626722,p017
2.23097915378661,0.813392582116304,0.991218951350485,-1.70784444658306,1.91071615951611,0.277622946788317,p018
8.5489966006058,-1.74011107329714,0.8702597722952,-8.0632394569397,8.0632394569397,0.776507075843868,p019
2.41218136844583,0.781848704538375,0.979594338822105,-2.16023583353469,2.16077200523998,0.22583072444106,p020
8.69611095066615,-1.83522822212347,0.924516618964521,8.08193313964813,8.08193313964813,0.864813414405823,p021
3.00798940652702,0.660772943597134,0.97924400406748,2.53107818084588,2.53107818084588,0.243560612116384,p022
3.82918942285109,0.450267288423705,0.958602487322242,2.46587419528952,2.74266393288306,0.224516656563542,p023
2.24453380477036,0.811118170643429,0.98409989429697,-1.52789471826058,1.94395286983386,0.266483259704049,p024
2.69471649528131,0.727752412076768,0.993455160937165,2.6222408588143,2.6222581582916,0.298831288790862,p025
7.05658623479771,-0.866926349676457,0.944436669408426,6.35114487153366,6.35114487153366,0.643825002933431,p026
3.14281751865611,0.629680817010763,0.978294761900855,2.8890307776073,2.8890307776073,0.320313005054082,p027
3.19758678818722,0.616661392734948,0.989997727308187,3.11234265159952,3.11402506431543,0.36944092373983,p028
6.71897789776923,-0.692560899784315,0.95309172654263,-6.4655752853179,6.4655752853179,0.661931311777032,p029
3.24221105756979,0.605887287030671,0.979578720627485,-2.90742299285548,2.93812251738306,0.376220116165047,p030
6.8282428953468,-0.74805785395195,0.944560478564834,-6.49849659605312,6.49849659605312,0.655260239288795,p031
5.5360664699387,-0.149054084460513,0.973130561023806,-5.39627719011826,5.39627719011826,0.585714227869623,p032
8.14358762354851,-1.48639100693949,0.932052308461323,7.24305204869605,7.24305204869605,0.721909700248612,p033
4.60489633360387,0.204980841627933,0.973763244842784,4.42376696981276,4.42376696981276,0.512331739196037,p034
3.23930787305512,0.606592774511643,0.964239079986425,-1.66803403371658,2.86087020431048,0.369364957281143,p035
6.2351993323706,-0.457600682150373,0.9609579375726,-6.00388778789973,6.00388778789973,0.622069008692351,p036
8.95436557897125,-2.00612836565264,0.886870309891791,-8.38636629276833,8.38636629276833,0.802420439294563,p037
5.50615904850815,-0.136672578756278,0.954439132409565,4.75720959088994,4.75723599594106,0.463711454216746,p038
5.74651627708818,-0.23807559073752,0.962144284104346,-5.54000250084711,5.54000250084711,0.588177994507792,p039
2.3529482353594,0.792430937087557,0.976708787428031,-0.444632770532428,1.99610315687624,0.246526786394571,p040
5.7762992535149,-0.25094221403325,0.957400803448978,5.53787499055765,5.53787499055765,0.645312402245317,p041
1.01739323255206,0.96119250877519,0.989423610912621,0.657474321490929,0.76956880055589,0.0823841177491185,p042
8.12433104965479,-1.47464611860332,0.93936117896992,7.57525148322696,7.57525148322696,0.804957247084348,p043
1.88901557573126,0.866214527522689,0.991458078453273,1.35934556963064,1.45987315055656,0.12029582491409,p044
5.08707754329217,0.0297702338766496,0.974292756190762,-4.94761625075751,4.94761625075751,0.544218663280865,p045
5.56112901373274,-0.159481489999244,0.954117374990149,-5.33991697145607,5.34379062289844,0.577265427209379,p046
3.44036424255796,0.556241454559896,0.98733713328608,-3.24760686304468,3.25382703765647,0.411963217623038,p047
0.775374173824588,0.977459655892263,0.991674992120501,-0.132132667320914,0.567776836836842,0.061389441943424,p048
4.4764653780007,0.24870873617081,0.955056294642768,3.45529193029337,3.45548471698306,0.304246187498967,p049
5.852892618586,-0.284336992392507,0.921656825837154,-5.43354536902549,5.43354536902549,0.552464449675312,p050
1.92800708406959,0.860634547388181,0.988380140121721,-1.48429898704827,1.65011467498743,0.228955724536036,p051
2.98850887967899,0.665152562191957,0.990605238517496,-2.77689217000065,2.77724547281156,0.365017642414222,p052
1.94289663904187,0.858473660838868,0.988944972223443,1.7588713988817,1.79586540654598,0.230230521340138,p053
3.55468548032538,0.526259799528069,0.97447839227133,2.93832951893917,2.96062095798319,0.276186017599122,p054
1.49420701492561,0.916293454187513,0.989408225947948,1.29064050492268,1.3721056668265,0.167466371354892,p055
7.18282707171208,-0.934321685213254,0.896617762294789,-6.79018672250492,6.7903752387735,0.682875584950331,p056
4.63720138775115,0.193787006434447,0.961758190024535,4.29739251920609,4.29739251920609,0.476555683942072,p057
