"test_rmse","lake_id","iter","fs","Model"
0.6158921,"Feeagh",4,48,"Transfer-PIDL"
0.6121175,"Feeagh",5,48,"Transfer-PIDL"
2.2803833,"Kasumigaura",1,1,"Transfer-PIDL"
1.275649,"Kasumigaura",2,1,"Transfer-PIDL"
13.480787,"Kasumigaura",3,1,"Transfer-PIDL"
1.812138,"Kasumigaura",4,1,"Transfer-PIDL"
4.3330345,"Kasumigaura",5,1,"Transfer-PIDL"
2.0395997,"Kasumigaura",1,6,"Transfer-PIDL"
3.3370533,"Kasumigaura",2,6,"Transfer-PIDL"
1.7386991,"Kasumigaura",3,6,"Transfer-PIDL"
1.632885,"Kasumigaura",4,6,"Transfer-PIDL"
2.6064398,"Kasumigaura",5,6,"Transfer-PIDL"
1.2600198,"Kasumigaura",1,12,"Transfer-PIDL"
1.0555738,"Kasumigaura",2,12,"Transfer-PIDL"
1.050459,"Kasumigaura",3,12,"Transfer-PIDL"
1.0132376,"Kasumigaura",4,12,"Transfer-PIDL"
1.1802319,"Kasumigaura",5,12,"Transfer-PIDL"
1.1377072,"Kasumigaura",1,18,"Transfer-PIDL"
0.9689025,"Kasumigaura",2,18,"Transfer-PIDL"
1.0378993,"Kasumigaura",3,18,"Transfer-PIDL"
1.1559802,"Kasumigaura",4,18,"Transfer-PIDL"
1.0546641,"Kasumigaura",5,18,"Transfer-PIDL"
1.0540051,"Kasumigaura",1,24,"Transfer-PIDL"
0.97291166,"Kasumigaura",2,24,"Transfer-PIDL"
0.94044054,"Kasumigaura",3,24,"Transfer-PIDL"
0.95427746,"Kasumigaura",4,24,"Transfer-PIDL"
0.94857174,"Kasumigaura",5,24,"Transfer-PIDL"
1.0268762,"Kasumigaura",1,30,"Transfer-PIDL"
0.9688996,"Kasumigaura",2,30,"Transfer-PIDL"
1.0361025,"Kasumigaura",3,30,"Transfer-PIDL"
0.93109107,"Kasumigaura",4,30,"Transfer-PIDL"
0.97914803,"Kasumigaura",5,30,"Transfer-PIDL"
0.9841547,"Kasumigaura",1,36,"Transfer-PIDL"
0.9563403,"Kasumigaura",2,36,"Transfer-PIDL"
