"Observed","Predicted","Error","phase","Model","absError","lake_id","reduce_Error","Phase"
3.8236542,3.7055476,-0.0156864708380789,"train","local-PIDL",0.1181066,"WindermereSouthBasin",0.0327213,"Calibration"
3.8698626,3.9675202,0.0124604964546817,"train","local-PIDL",0.0976576000000002,"WindermereSouthBasin",0.0625218000000003,"Calibration"
3.8280876,4.00264,0.0222906755238503,"train","local-PIDL",0.1745524,"WindermereSouthBasin",0.164797800000001,"Calibration"
3.738546,3.9649234,0.0293864334443843,"train","local-PIDL",0.2263774,"WindermereSouthBasin",0.1301451,"Calibration"
3.778946,3.907672,0.0167467679602601,"train","local-PIDL",0.128726,"WindermereSouthBasin",0.0429999999999997,"Calibration"
3.9159584,3.9159417,-2.13093888863013e-06,"train","local-PIDL",1.67000000002027e-05,"WindermereSouthBasin",-0.1391989,"Calibration"
4.0086,4.002377,-0.000776834279183085,"train","local-PIDL",0.00622300000000031,"WindermereSouthBasin",-0.0336949999999989,"Calibration"
3.889546,4.2243977,0.0412686800962825,"train","local-PIDL",0.3348517,"WindermereSouthBasin",0.240387,"Calibration"
3.9355874,4.1777453,0.0298469129278047,"train","local-PIDL",0.2421579,"WindermereSouthBasin",0.207347399999999,"Calibration"
4.0043206,4.1885777,0.0224898472233887,"train","local-PIDL",0.1842571,"WindermereSouthBasin",0.1269667,"Calibration"
4.052054,4.2221103,0.0205526913621228,"train","local-PIDL",0.1700563,"WindermereSouthBasin",0.1634343,"Calibration"
4.1019335,4.3707247,0.031724541901568,"train","local-PIDL",0.2687912,"WindermereSouthBasin",0.0930290000000005,"Calibration"
4.141754,4.513115,0.0429077292092548,"train","local-PIDL",0.371361,"WindermereSouthBasin",0.13811,"Calibration"
4.1712584,4.48984,0.0367830456890799,"train","local-PIDL",0.3185816,"WindermereSouthBasin",0.190451,"Calibration"
4.1986375,4.30231,0.0121954058326615,"train","local-PIDL",0.1036725,"WindermereSouthBasin",-0.0473565999999996,"Calibration"
4.211721,4.095872,-0.0139449561294629,"train","local-PIDL",0.115849,"WindermereSouthBasin",-0.12502,"Calibration"
4.1992373,4.1523137,-0.0056185536166891,"train","local-PIDL",0.0469236000000004,"WindermereSouthBasin",-0.0341587999999993,"Calibration"
4.224329,4.3254433,0.0118265457799289,"train","local-PIDL",0.1011143,"WindermereSouthBasin",-0.0612339999999998,"Calibration"
4.2702165,4.090888,-0.0214479369166182,"train","local-PIDL",0.1793285,"WindermereSouthBasin",0.159143500000001,"Calibration"
4.2955165,3.9694643,-0.03944984229721,"train","local-PIDL",0.3260522,"WindermereSouthBasin",0.1545801,"Calibration"
4.4009666,4.0082026,-0.0467066463150682,"train","local-PIDL",0.392764000000001,"WindermereSouthBasin",0.368499600000001,"Calibration"
4.432017,4.2981596,-0.0153327084507765,"train","local-PIDL",0.1338574,"WindermereSouthBasin",0.1057214,"Calibration"
4.535996,4.4576764,-0.00870829471327703,"train","local-PIDL",0.0783195999999995,"WindermereSouthBasin",-0.1057997,"Calibration"
4.574025,4.6889024,0.0124018269137069,"train","local-PIDL",0.1148774,"WindermereSouthBasin",-0.0747065999999998,"Calibration"
4.5593085,4.884595,0.0344440612137124,"train","local-PIDL",0.3252865,"WindermereSouthBasin",0.292801,"Calibration"
4.659896,4.940016,0.0291794242476111,"train","local-PIDL",0.28012,"WindermereSouthBasin",0.1929505,"Calibration"
4.716642,4.929484,0.0220650230120609,"train","local-PIDL",0.212842,"WindermereSouthBasin",0.0324530000000003,"Calibration"
4.9669085,5.2552824,0.0282105813890135,"train","local-PIDL",0.2883739,"WindermereSouthBasin",0.1515054,"Calibration"
5.3875165,5.3337746,-0.00501263621968463,"train","local-PIDL",0.0537419000000003,"WindermereSouthBasin",-0.0308589999999995,"Calibration"
5.6871915,5.6897154,0.000221844048370134,"train","local-PIDL",0.00252389999999991,"WindermereSouthBasin",-0.0840996,"Calibration"
5.964646,5.883505,-0.0068484100914813,"train","local-PIDL",0.0811409999999997,"WindermereSouthBasin",0.0570333999999999,"Calibration"
6.201625,6.0616274,-0.0114160158619458,"train","local-PIDL",0.1399976,"WindermereSouthBasin",0.0184173000000003,"Calibration"
6.1657624,5.8294,-0.0280415010860967,"train","local-PIDL",0.3363624,"WindermereSouthBasin",0.054125,"Calibration"
5.8809,5.760893,-0.01030829533252,"train","local-PIDL",0.120006999999999,"WindermereSouthBasin",-0.0489246000000003,"Calibration"
5.5613,5.5786276,0.00155546664620049,"train","local-PIDL",0.0173275999999998,"WindermereSouthBasin",0.0151285999999997,"Calibration"
5.6930623,5.669776,-0.00204934208082981,"train","local-PIDL",0.0232863000000005,"WindermereSouthBasin",-0.100465,"Calibration"
5.6502333,5.5539136,-0.00859678801355027,"train","local-PIDL",0.0963197000000005,"WindermereSouthBasin",-0.1349912,"Calibration"
5.6169877,5.476777,-0.0126386877011874,"train","local-PIDL",0.1402107,"WindermereSouthBasin",-0.1342754,"Calibration"
