"model","rmse","nse","r","bias","mae","nmae","phase","LakeID"
"GLM",1.02605419946291,0.942987867690872,0.987428222824705,0.759349949765274,0.842903411926614,0.0925322378506604,"cali","Feeagh"
"GLM",0.917091560508206,0.946373658996245,0.989835577495689,0.698211687450023,0.76896697636037,0.0740840747312661,"vali","Feeagh"
