train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.9971352,0.2764254,0.014082685,0.20042765,0.02135629,0.98319495,0.6496163,0.033554446,0.5098526,0.053729944,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,100
0.991977,0.3849072,0.019943379,0.27691773,0.027257044,0.98009247,0.55876935,0.032043684,0.411768,0.03785341,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,Feeagh,100
0.9971488,0.4449314,0.015666597,0.34043816,0.027106714,0.99093133,0.76475096,0.02574919,0.5970091,0.047028348,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,Kasumigaura,100
