train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,model_idx
0.9970728,0.27941984,0.0142352395,0.20712855,0.021434864,0.9970728,0.27941984,0.0142352395,0.20712855,0.021434864,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,0
0.9971352,0.2764254,0.014082685,0.20042765,0.02135629,0.9971352,0.2764254,0.014082685,0.20042765,0.02135629,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,1
0.9797149,0.7355634,0.03747379,0.6095396,0.06108899,0.9797149,0.7355634,0.03747379,0.6095396,0.06108899,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.1,2
