train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,model_idx
0.9756678,1.2997774,0.045766808,0.9787802,0.08835576,0.9756678,1.2997774,0.045766808,0.9787802,0.08835576,200.0,128.0,0.0005,48.0,2.0,32.0,12.0,0.0,0
0.9838455,1.0590703,0.037291206,0.83716625,0.07393747,0.9838455,1.0590703,0.037291206,0.83716625,0.07393747,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,1
0.6187042,5.145281,0.18117185,3.9034796,0.3400584,0.6187042,5.145281,0.18117185,3.9034796,0.3400584,200.0,128.0,0.05,48.0,2.0,32.0,12.0,0.0,2
