train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.980546,0.98914635,0.040186003,0.73318714,0.1986605,0.97280633,1.1610351,0.048036203,0.88569194,0.19004165,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,PIDL,exper3,57,100
0.9644202,1.5864371,0.05324515,1.0397904,0.23892312,0.9613943,1.6615572,0.056113083,1.1089497,0.48547506,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,PIDL,exper3,61,100
0.9331692,1.3272178,0.061133996,0.96622,0.2470894,0.9074487,1.5168257,0.076763794,1.1324487,0.50191146,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,PIDL,exper3,63,100
0.9359518,0.941341,0.06160609,0.739644,0.031603575,0.93309486,0.92711794,0.063164644,0.7203431,0.030345373,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,PIDL,exper3,65,100
0.95033723,1.0934912,0.056136865,0.82815284,0.15614104,0.93100095,1.3225527,0.06488821,1.0303942,0.40524757,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,PIDL,exper3,68,100
0.984547,1.0187539,0.035608314,0.78298444,0.18419291,0.9806034,1.2015649,0.042477287,0.92544436,0.23151179,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,PIDL,exper3,71,100
0.96194834,1.0971711,0.045518972,0.82066673,0.13931383,0.9445083,1.320594,0.06328679,0.9881955,0.25263083,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,PIDL,exper3,72,100
0.97949153,1.1124246,0.042465683,0.85369647,0.20329672,0.9719912,1.3416989,0.05051623,1.0545164,0.44420403,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,PIDL,exper3,75,100
0.9802903,0.8882456,0.03833274,0.68177074,0.036856156,0.97211367,1.0801857,0.047190286,0.84511673,0.045332197,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,PIDL,exper3,77,100
0.9817136,0.93345815,0.029586611,0.717409,0.056585178,0.96766555,1.2541665,0.03941131,0.97924733,0.088945374,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,PIDL,exper3,78,100
