"lake_id","test_rmse","Model","num"
"exper2_18",2.2653722536493,"PB",18
"exper2_19",2.85096558469341,"PB",19
"exper2_20",2.03525042136344,"PB",20
"exper2_22",2.67805949683503,"PB",21
"exper2_23",1.32715316378859,"PB",22
"exper2_25",2.19105749568636,"PB",23
"exper2_27",1.38091008456165,"PB",24
"exper2_28",1.43167895502205,"PB",25
"exper2_29",7.37972987921739,"PB",26
"exper2_30",1.51569231090032,"PB",27
"exper2_31",1.93291525957059,"PB",28
"exper2_32",1.53836540532722,"PB",29
"exper2_34",1.65079467525803,"PB",30
"exper2_35",1.32180900918756,"PB",31
"exper2_36",1.58430600200984,"PB",32
"exper2_37",1.59901144198373,"PB",33
"exper2_38",1.23873281772472,"PB",34
"exper2_39",0.80182176431303,"PB",35
"exper2_40",2.36698514783657,"PB",36
"exper2_41",1.10867158081688,"PB",37
"exper2_42",3.19517061230646,"PB",38
"exper2_43",1.78090052513451,"PB",39
"exper2_44",2.1059996840755,"PB",40
"exper2_45",0.991705393332376,"PB",41
"exper2_46",1.01595945530528,"PB",42
"exper2_47",1.7085479840919,"PB",43
"exper2_01",3.55730684858087,"ERA5-Land",1
"exper2_02",2.38026443416292,"ERA5-Land",2
"exper2_03",3.42626769400906,"ERA5-Land",3
"exper2_04",2.47209074315664,"ERA5-Land",4
"exper2_05",4.34790996990948,"ERA5-Land",5
"exper2_06",2.35018499004435,"ERA5-Land",6
"exper2_07",2.32915129485875,"ERA5-Land",7
"exper2_08",1.64508443266504,"ERA5-Land",8
"exper2_09",2.11390523064842,"ERA5-Land",9
"exper2_10",4.20393915843035,"ERA5-Land",10
"exper2_11",3.88129548560297,"ERA5-Land",11
"exper2_12",2.65394766873523,"ERA5-Land",12
"exper2_13",2.85285956747266,"ERA5-Land",13
"exper2_14",1.4162459459184,"ERA5-Land",14
"exper2_15",2.14063316901884,"ERA5-Land",15
"exper2_16",2.60023763076545,"ERA5-Land",16
"exper2_17",4.25078304575863,"ERA5-Land",17
"exper2_18",4.91134783154228,"ERA5-Land",18
"exper2_19",2.57855616474668,"ERA5-Land",19
"exper2_20",4.41121098412203,"ERA5-Land",20
